,time,pgn,priority,source,destination,data,description
0,0.0,60928,6,71,255,4D 74 30 04 00 34 02 20 ,Unknown
1,1.0,60928,6,6,255,4D 74 30 04 00 0E 00 20 ,Unknown
2,1.0,60928,6,3,255,4D 74 30 04 00 03 02 20 ,Unknown
3,25.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
4,27.0,61444,3,0,255,F0 FF 00 00 00 FF FF FF ,Unknown
5,28.0,59904,6,0,255,00 EE 00 ,Unknown
6,37.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
7,38.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
8,38.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
9,47.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
10,57.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
11,58.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
12,58.0,61184,6,0,6,64 0E 03 02 FF FF FF FF ,Unknown
13,67.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
14,77.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
15,78.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
16,78.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
17,79.0,65247,6,0,255,7D 52 1D FF FF FF FF FF ,Unknown
18,79.0,60416,7,0,255,20 22 00 05 FF E3 FE 00 ,Unknown
19,87.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
20,97.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
21,98.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
22,98.0,65263,6,0,255,FF FF FF FE FF FF FF FA ,Unknown
23,107.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
24,117.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
25,118.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
26,127.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
27,130.0,60160,7,0,255,01 20 1C DD 68 42 DC A0 ,Unknown
28,137.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
29,138.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
30,138.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
31,147.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
32,157.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
33,158.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
34,158.0,61184,6,0,6,64 0E 0D 02 FF FF FF FF ,Unknown
35,167.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
36,177.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
37,178.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
38,178.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
39,179.0,65270,6,0,255,FF 00 4C FF 00 FF FF FF ,Unknown
40,179.0,60160,7,0,255,02 0F D5 8D 20 E3 7A 31 ,Unknown
41,187.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
42,197.0,61184,6,0,250,64 01 FF 00 00 FF FF FF ,Unknown
43,198.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
44,198.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
45,207.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
46,217.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
47,218.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
48,227.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
49,230.0,60160,7,0,255,03 F1 C0 44 FF FF 04 01 ,Unknown
50,237.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
51,238.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
52,238.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
53,247.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
54,257.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
55,258.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
56,258.0,61184,6,0,6,64 0E 17 06 FF FF FF FF ,Unknown
57,261.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
58,262.0,61184,1,6,0,64 15 10 F0 00 00 BF 0E ,Unknown
59,263.0,0,3,6,0,30 FF FF FF F8 FF FF FF ,Unknown
60,267.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
61,277.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
62,278.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
63,278.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
64,279.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
65,279.0,60160,7,0,255,04 20 4E 00 01 FA C9 FA ,Unknown
66,281.0,126720,3,71,6,01 04 FF FF FF FF FF F1 ,Unknown
67,282.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
68,282.0,61184,1,6,0,64 15 10 F0 00 00 BF 0E ,Unknown
69,283.0,65534,3,6,255,5C 7F 1D 7F 1D FF FF FF ,Unknown
70,284.0,65531,6,6,255,00 05 7D F8 FF FF FF FF ,Unknown
71,284.0,59904,6,71,255,00 EE 00 ,Unknown
72,287.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
73,297.0,61443,3,0,255,FF 00 00 FF 08 FF FF FF ,Unknown
74,298.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
75,298.0,65262,6,0,255,4A 43 FF FF FF FF FF FF ,Unknown
76,301.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
77,302.0,61184,1,6,0,64 15 10 F0 00 00 BF 0E ,Unknown
