,time,pgn,priority,source,destination,data,description
0,0.0,60928,6,71,255,4D 74 30 04 00 34 02 20 ,Unknown
1,1.0,60928,6,6,255,4D 74 30 04 00 0E 00 20 ,Unknown
2,1.0,60928,6,3,255,4D 74 30 04 00 03 02 20 ,Unknown
3,28.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
4,30.0,61444,3,0,255,F0 FF 00 00 00 FF FF FF ,Unknown
5,31.0,59904,6,0,255,00 EE 00 ,Unknown
6,40.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
7,41.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
8,41.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
9,51.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
10,60.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
11,61.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
12,62.0,61184,6,0,6,64 0E 03 02 FF FF FF FF ,Unknown
13,70.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
14,80.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
15,81.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
16,82.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
17,82.0,65247,6,0,255,7D F8 1C FF FF FF FF FF ,Unknown
18,83.0,60416,7,0,255,20 22 00 05 FF E3 FE 00 ,Unknown
19,90.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
20,100.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
21,101.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
22,102.0,65263,6,0,255,FF FF FF FE FF FF FF FA ,Unknown
23,110.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
24,120.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
25,121.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
26,130.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
27,134.0,60160,7,0,255,01 20 1C DD 68 42 DC A0 ,Unknown
28,140.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
29,141.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
30,142.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
31,150.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
32,160.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
33,161.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
34,162.0,61184,6,0,6,64 0E 0D 02 FF FF FF FF ,Unknown
35,171.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
36,180.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
37,181.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
38,182.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
39,182.0,65270,6,0,255,FF 00 45 FF 00 FF FF FF ,Unknown
40,183.0,60160,7,0,255,02 0F D5 8D 20 E3 7A 31 ,Unknown
41,191.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
42,200.0,61184,6,0,250,64 01 FF 00 00 FF FF FF ,Unknown
43,201.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
44,202.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
45,210.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
46,220.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
47,221.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
48,231.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
49,234.0,60160,7,0,255,03 F1 C0 44 FF FF 04 01 ,Unknown
50,240.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
51,241.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
52,242.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
53,251.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
54,261.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
55,261.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
56,262.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
57,262.0,61184,1,6,0,64 15 10 F0 00 00 93 0E ,Unknown
58,263.0,0,3,6,0,30 FF FF FF F8 FF FF FF ,Unknown
59,263.0,61184,6,0,6,64 0E 17 06 FF FF FF FF ,Unknown
60,271.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
61,280.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
62,281.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
63,282.0,126720,3,71,6,01 04 FF FF FF FF FF F1 ,Unknown
64,282.0,61184,1,6,0,64 15 10 F0 00 00 93 0E ,Unknown
65,283.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
66,283.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
67,284.0,65534,3,6,255,5C 27 1D 27 1D FF FF FF ,Unknown
68,285.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
69,285.0,65531,6,6,255,00 05 7D F8 FF FF FF FF ,Unknown
70,286.0,60160,7,0,255,04 20 4E 00 01 FA C9 FA ,Unknown
71,286.0,59904,6,71,255,00 EE 00 ,Unknown
72,290.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
73,300.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
74,301.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
75,302.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
76,302.0,61184,1,6,0,64 15 10 F0 00 00 93 0E ,Unknown
77,303.0,65262,6,0,255,4F 41 FF FF FF FF FF FF ,Unknown
